State,Population_1970,Population_1980,Population_1976_Estimated
Alabama,3444165,3893888,3713998
Alaska,300382,401851,361263
Arizona,1770900,2718215,2339289
Arkansas,1923295,2286435,2141179
California,19953134,23667902,22181994
Colorado,2207259,2889964,2616882
Connecticut,3031709,3107576,3077229
Delaware,548104,594338,575844
District of Columbia,756510,638333,685603
Florida,6789443,9746324,8563571
Georgia,4589575,5463105,5113693
Hawaii,768561,964691,886239
Idaho,712567,943935,851387
Illinois,11113976,11426518,11301501
Indiana,5193669,5490224,5371602
Iowa,2824376,2913808,2878035
Kansas,2246578,2363679,2316838
Kentucky,3218706,3660777,3483948
Louisiana,3641306,4205900,3980062
Maine,992048,1124660,1071615
Maryland,3922399,4216975,4099144
Massachusetts,5689170,5737037,5717890
Michigan,8875083,9262078,9107280
Minnesota,3804971,4075970,3967570
Mississippi,2216912,2520638,2399147
Missouri,4676501,4916686,4820612
Montana,694409,786690,749777
Nebraska,1483493,1569825,1535292
Nevada,488738,800493,675791
New Hampshire,737681,920610,847438
New Jersey,7168164,7364823,7286159
New Mexico,1016000,1302894,1188136
New York,18236967,17558072,17829630
North Carolina,5082059,5881766,5561883
North Dakota,617761,652717,638734
Ohio,10652017,10797630,10739384
Oklahoma,2559229,3025290,2838865
Oregon,2091385,2633105,2416417
Pennsylvania,11793909,11863895,11835900
Rhode Island,946725,947154,946982
South Carolina,2590516,3121820,2909298
South Dakota,665507,690768,680663
Tennessee,3923687,4591120,4324146
Texas,11196730,14229191,13016206
Utah,1059273,1461037,1300331
Vermont,444330,511456,484605
Virginia,4648494,5346818,5067488
Washington,3409169,4132156,3842961
West Virginia,1744237,1949644,1867481
Wisconsin,4417731,4705767,4590552
Wyoming,332416,469557,414700
